Datetime_hr_CST,PPFD_IN_1_1_1,TS_1_1_1,SWC_1_1_1,Year,DoY,Hour,DoY_hr,SR1,SR2,SR3,Rh,Ra1,Ra2,Ra3,GPP,SR,Ra
2024/4/1 0:00,0,19.365,42.7,2024,92,0,92,1.93797,2.37504,NA,1.98,-0.04203,0.39504,NA,-0.34222,2.156505,0.176505
2024/4/1 1:00,0,19.28,42.7,2024,92,1,92.04166667,2.01,2.69,NA,NA,NA,NA,NA,-1.7225,2.35,NA
2024/4/1 2:00,0,19.205,42.7,2024,92,2,92.08333333,1.86745,2.49,NA,1.99,-0.12255,0.5,NA,-0.25173,2.178725,0.188725
2024/4/1 3:00,0,19.13,42.7,2024,92,3,92.125,1.80428,2.49968,NA,1.84082,-0.03654,0.65886,NA,-0.146395,2.15198,0.31116
2024/4/1 4:00,0,19.09,42.7,2024,92,4,92.16666667,2.02,2.45,NA,1.87,0.15,0.58,NA,-0.168805,2.235,0.365
2024/4/1 5:00,0,19.08,42.7,2024,92,5,92.20833333,1.87677,2.51,NA,1.77635,0.10042,0.73365,NA,-1.287925,2.193385,0.417035
2024/4/1 6:00,10.5,19.08,42.7,2024,92,6,92.25,2.05,2.63,NA,1.87584,0.17416,0.75416,NA,-1.8292,2.34,0.46416
2024/4/1 7:00,165.75,19.095,42.7,2024,92,7,92.29166667,2.15,2.56,NA,1.81,0.34,0.75,NA,-1.39357,2.355,0.545
2024/4/1 8:00,296.95,19.15,42.7,2024,92,8,92.33333333,1.92906,2.52,NA,1.7,0.22906,0.82,NA,1.85816,2.22453,0.52453
2024/4/1 9:00,450.75,19.28,42.7,2024,92,9,92.375,2,2.65,NA,1.61586,0.38414,1.03414,NA,8.34065,2.325,0.70914
2024/4/1 10:00,711.55,19.51,42.65,2024,92,10,92.41666667,2.02,2.5,NA,1.77,0.25,0.73,NA,10.5315,2.26,0.49
2024/4/1 11:00,792.35,19.81,42.6,2024,92,11,92.45833333,1.98,2.65,NA,1.89,0.09,0.76,NA,14.399,2.315,0.425
2024/4/1 12:00,795.1,20.18,42.55,2024,92,12,92.5,2.17428,2.73,NA,2.07325,0.10103,0.65675,NA,14.76,2.45214,0.37889
2024/4/1 13:00,728.85,20.5,42.5,2024,92,13,92.54166667,2.08,2.81,NA,2.14,-0.06,0.67,NA,14.926,2.445,0.305
2024/4/1 14:00,908.35,20.78,42.5,2024,92,14,92.58333333,2.2,2.75,NA,2.25,-0.05,0.5,NA,14.8575,2.475,0.225
2024/4/1 15:00,721.65,20.995,42.5,2024,92,15,92.625,2.41,2.88,NA,2.23,0.18,0.65,NA,16.221,2.645,0.415
2024/4/1 16:00,411.5,21.14,42.4,2024,92,16,92.66666667,2.35,3.09,NA,2.25666,0.09334,0.83334,NA,14.393,2.72,0.46334
2024/4/1 17:00,170.15,21.22,42.4,2024,92,17,92.70833333,2.31,2.96,NA,2.45,-0.14,0.51,NA,9.8836,2.635,0.185
2024/4/1 18:00,14.615,21.2,42.45,2024,92,18,92.75,2.32684,2.85,NA,2.36858,-0.04174,0.48142,NA,2.84445,2.58842,0.21984
2024/4/1 19:00,0,21.095,42.5,2024,92,19,92.79166667,2.1,2.81,NA,2.251005,-0.151005,0.558995,NA,2.115965,2.455,0.203995
2024/4/1 20:00,0,20.935,42.5,2024,92,20,92.83333333,2.09,2.82,NA,2.18602,-0.09602,0.63398,NA,0.50005,2.455,0.26898
2024/4/1 21:00,0,20.765,42.5,2024,92,21,92.875,2.21,2.86,NA,2.09281,0.11719,0.76719,NA,-1.329865,2.535,0.44219
2024/4/1 22:00,0,20.63,42.5,2024,92,22,92.91666667,2.409735,3.17911,NA,2.08241,0.327325,1.0967,NA,-1.22795,2.7944225,0.7120125
2024/4/1 23:00,0,20.53,42.5,2024,92,23,92.95833333,2.42659,3.47688,NA,2.13694,0.28965,1.33994,NA,-0.27647,2.951735,0.814795
2024/4/2 0:00,0,20.445,42.5,2024,93,0,93,2.34676,3.238125,NA,2.11478,0.23198,1.123345,NA,0.66305,2.7924425,0.6776625
