Datetime_hr_CST,PPFD_IN_1_1_1,TS_1_1_1,TS_1_2_1,SWC_1_1_1,SWC_1_2_1,Year,DoY,Hour,DoY_hr,SR1,SR2,SR3,Rh,Ra1,Ra2,Ra3,GPP
2023/3/15 20:00,0.07,15.24,15.38,21.8,29.7,2023,74,20,74.83333333,1.58,NA,NA,1.08,0.5,NA,NA,1.80185
2023/3/15 21:00,0.0575,15.065,15.39,21.8,29.65,2023,74,21,74.875,1.72,NA,NA,1.07,0.65,NA,NA,0.70765
2023/3/15 22:00,0.055,14.93,15.385,21.8,29.6,2023,74,22,74.91666667,1.45845,NA,NA,1.06,0.39845,NA,NA,-0.792225
2023/3/15 23:00,0.0675,14.82,15.365,21.8,29.6,2023,74,23,74.95833333,1.71,NA,NA,0.97,0.74,NA,NA,-0.4989355
2023/3/16 0:00,0.067,14.725,15.34,21.8,29.6,2023,75,0,75,1.53,NA,NA,0.98,0.55,NA,NA,0.65706
2023/3/16 1:00,0.057,14.61,15.31,21.85,29.6,2023,75,1,75.04166667,1.5,NA,NA,0.95,0.55,NA,NA,0.993854
2023/3/16 2:00,0.078,14.505,15.28,21.9,29.6,2023,75,2,75.08333333,1.46,NA,NA,0.95,0.51,NA,NA,1.4936
2023/3/16 3:00,0.0655,14.43,15.25,21.9,29.6,2023,75,3,75.125,1.71,NA,NA,0.91,0.8,NA,NA,2.0332
2023/3/16 4:00,0.06,14.375,15.215,21.95,29.6,2023,75,4,75.16666667,1.6,NA,NA,0.89,0.71,NA,NA,1.48305
2023/3/16 5:00,0.0785,14.375,15.19,21.9,29.5,2023,75,5,75.20833333,1.48,NA,NA,1,0.48,NA,NA,2.22725
2023/3/16 6:00,9.725,14.455,15.16,21.9,29.5,2023,75,6,75.25,NA,NA,NA,0.91,NA,NA,NA,0.824735
2023/3/16 7:00,91.99,14.6,15.14,21.9,29.5,2023,75,7,75.29166667,1.44,NA,NA,0.9,0.54,NA,NA,2.0312
2023/3/16 8:00,118.725,14.815,15.14,21.85,29.5,2023,75,8,75.33333333,1.51,NA,NA,0.92,0.59,NA,NA,2.2347
2023/3/16 9:00,203.35,15.08,15.15,21.8,29.5,2023,75,9,75.375,1.77,NA,NA,0.97,0.8,NA,NA,3.10525
2023/3/16 10:00,183.65,15.38,15.185,21.8,29.5,2023,75,10,75.41666667,1.95,NA,NA,1.04,0.91,NA,NA,3.6653
2023/3/16 11:00,184.9,15.62,15.245,21.8,29.5,2023,75,11,75.45833333,1.82,NA,NA,0.98,0.84,NA,NA,2.55515
2023/3/16 12:00,244.1,15.885,15.31,21.8,29.5,2023,75,12,75.5,1.98,NA,NA,1.01,0.97,NA,NA,3.17315
2023/3/16 13:00,338.4,16.165,15.39,21.7,29.5,2023,75,13,75.54166667,1.92,NA,NA,1.04,0.88,NA,NA,3.86385
2023/3/16 14:00,71.465,16.35,15.485,22.85,29.55,2023,75,14,75.58333333,1.79,NA,NA,1.06,0.73,NA,NA,2.055
2023/3/16 15:00,182.95,16.75,15.59,28.9,30.85,2023,75,15,75.625,1.86,NA,NA,1.09,0.77,NA,NA,0.12155
2023/3/16 16:00,78.89,16.92,15.725,27.75,31.35,2023,75,16,75.66666667,1.89,NA,NA,1.15,0.74,NA,NA,1.482665
2023/3/16 17:00,15.56,16.89,15.835,27.3,31.4,2023,75,17,75.70833333,1.19491,NA,NA,0.63,0.56491,NA,NA,2.57385
2023/3/16 18:00,2.6925,16.92,15.94,28.35,31.65,2023,75,18,75.75,1.5,NA,NA,0.7,0.8,NA,NA,0.953845
2023/3/16 19:00,0.0805,16.97,16.015,28.05,31.9,2023,75,19,75.79166667,1.58,NA,NA,0.83,0.75,NA,NA,-1.214185
2023/3/16 20:00,0.0785,16.96,16.08,27.4,31.8,2023,75,20,75.83333333,1.58,NA,NA,0.88,0.7,NA,NA,-2.38645
2023/3/16 21:00,0.0625,16.955,16.135,31.1,32.25,2023,75,21,75.875,1.48,NA,NA,0.84,0.64,NA,NA,-2.11175
2023/3/16 22:00,0.02,16.825,16.22,37.45,33.7,2023,75,22,75.91666667,1.65,NA,NA,0.95,0.7,NA,NA,-4.8535
2023/3/16 23:00,0.039,16.485,16.265,36.65,33.7,2023,75,23,75.95833333,1.81,NA,NA,1.08,0.73,NA,NA,-0.844515
2023/3/17 0:00,0.0615,16.12,16.26,35.9,33.7,2023,76,0,76,0.390246,NA,NA,0.81,-0.419754,NA,NA,-1.264305
2023/3/17 1:00,0.0585,15.695,16.23,35.15,33.7,2023,76,1,76.04166667,0.740625,NA,NA,NA,NA,NA,NA,-1.74195
2023/3/17 2:00,0.073,15.265,16.165,34.55,33.7,2023,76,2,76.08333333,0.746437,NA,NA,0.23,0.516437,NA,NA,-1.57585
2023/3/17 3:00,0.0615,14.875,16.07,34.1,33.7,2023,76,3,76.125,0.686752,NA,NA,0.21,0.476752,NA,NA,-1.6995
2023/3/17 4:00,0.0785,14.56,15.96,33.6,33.7,2023,76,4,76.16666667,0.63,NA,NA,0.2,0.43,NA,NA,-2.314
2023/3/17 5:00,0.0725,14.3,15.84,33.3,33.7,2023,76,5,76.20833333,0.57,NA,NA,0.23,0.34,NA,NA,-1.57595
2023/3/17 6:00,4.153,14.055,15.71,33,33.7,2023,76,6,76.25,0.569803,NA,NA,0.22,0.349803,NA,NA,-0.72424
2023/3/17 7:00,52.79,13.825,15.59,32.75,33.7,2023,76,7,76.29166667,0.54,NA,NA,0.27,0.27,NA,NA,-1.9254
2023/3/17 8:00,169.49,13.605,15.465,32.55,33.7,2023,76,8,76.33333333,0.569257,NA,NA,NA,NA,NA,NA,0.732225
2023/3/17 9:00,390.7,13.595,15.34,32.25,33.7,2023,76,9,76.375,0.55,NA,NA,0.23,0.32,NA,NA,3.13905
2023/3/17 10:00,702.95,13.71,15.235,32,33.7,2023,76,10,76.41666667,0.52,NA,NA,0.22,0.3,NA,NA,6.56705
2023/3/17 11:00,1245,14.095,15.15,31.75,33.7,2023,76,11,76.45833333,0.536817,NA,NA,0.25,0.286817,NA,NA,11.153
2023/3/17 12:00,1514.5,14.37,15.105,31.45,33.6,2023,76,12,76.5,0.56,NA,NA,0.29,0.27,NA,NA,15.1575
2023/3/17 13:00,1131,14.75,15.085,31.2,33.6,2023,76,13,76.54166667,0.66,NA,NA,0.33,0.33,NA,NA,14.6485
2023/3/17 14:00,1135.5,14.945,15.1,30.95,33.6,2023,76,14,76.58333333,0.71,NA,NA,0.35,0.36,NA,NA,14.0405
2023/3/17 15:00,1066.5,14.955,15.13,30.75,33.6,2023,76,15,76.625,0.74,NA,NA,0.42,0.32,NA,NA,14.353
2023/3/17 16:00,674.45,14.705,15.165,30.55,33.55,2023,76,16,76.66666667,0.69,NA,NA,0.47,0.22,NA,NA,10.7039
2023/3/17 17:00,260.4,14.44,15.18,30.35,33.5,2023,76,17,76.70833333,0.72,NA,NA,0.43,0.29,NA,NA,8.1998
2023/3/17 18:00,16.7725,14.125,15.16,30.15,33.5,2023,76,18,76.75,0.67,NA,NA,0.47,0.2,NA,NA,5.3802
2023/3/17 19:00,0.046,13.84,15.12,30,33.5,2023,76,19,76.79166667,0.67,NA,NA,0.47,0.2,NA,NA,2.4918
2023/3/17 20:00,0.0545,13.58,15.06,29.8,33.5,2023,76,20,76.83333333,0.63,NA,NA,0.43,0.2,NA,NA,1.83585
2023/3/17 21:00,0.046,13.365,14.98,29.65,33.5,2023,76,21,76.875,0.63627,NA,NA,0.46,0.17627,NA,NA,0.675485
2023/3/17 22:00,0.0585,13.2,14.91,29.5,33.5,2023,76,22,76.91666667,0.62,NA,NA,0.43,0.19,NA,NA,0.62308
2023/3/17 23:00,0.0655,13.065,14.815,29.35,33.5,2023,76,23,76.95833333,0.62758,NA,NA,0.41,0.21758,NA,NA,0.88563
2023/3/18 0:00,0.065,12.965,14.73,29.25,33.5,2023,77,0,77,0.64,NA,NA,0.43,0.21,NA,NA,1.41405
2023/3/18 1:00,0.0755,12.865,14.64,29.1,33.45,2023,77,1,77.04166667,0.600003,NA,NA,0.41,0.190003,NA,NA,0.043145
2023/3/18 2:00,0.0715,12.76,14.565,28.95,33.4,2023,77,2,77.08333333,0.59,NA,NA,0.44,0.15,NA,NA,0.483255
2023/3/18 3:00,0.0695,12.665,14.495,28.85,33.4,2023,77,3,77.125,0.6,NA,NA,NA,NA,NA,NA,-0.10052
2023/3/18 4:00,0.067,12.555,14.42,28.75,33.4,2023,77,4,77.16666667,0.590298,NA,NA,0.43,0.160298,NA,NA,0.31323
2023/3/18 5:00,0.0645,12.455,14.35,28.6,33.4,2023,77,5,77.20833333,0.58,NA,NA,0.44,0.14,NA,NA,-0.2224
2023/3/18 6:00,10.5655,12.37,14.27,28.5,33.4,2023,77,6,77.25,0.570894,NA,NA,0.42,0.150894,NA,NA,-0.236465
2023/3/18 7:00,135,12.32,14.205,28.4,33.4,2023,77,7,77.29166667,0.58,NA,NA,0.45,0.13,NA,NA,-2.148695
2023/3/18 8:00,276.9,12.415,14.14,28.25,33.4,2023,77,8,77.33333333,0.53,NA,NA,0.44,0.09,NA,NA,0.89175
2023/3/18 9:00,201.8,12.515,14.085,28.1,33.3,2023,77,9,77.375,NA,NA,NA,0.42,NA,NA,NA,9.65105
2023/3/18 10:00,309.75,12.57,14.05,28,33.3,2023,77,10,77.41666667,0.56,NA,NA,0.45,0.11,NA,NA,5.3085
2023/3/18 11:00,493.15,12.79,14.02,27.85,33.3,2023,77,11,77.45833333,0.57,NA,NA,0.47,0.1,NA,NA,7.21095
2023/3/18 12:00,588.8,13.07,14.005,27.7,33.3,2023,77,12,77.5,0.56,NA,NA,0.47,0.09,NA,NA,12.745
2023/3/18 13:00,567.05,13.345,14.015,27.55,33.2,2023,77,13,77.54166667,0.6,NA,NA,0.51,0.09,NA,NA,12.912
