Datetime_hr_CST,PPFD_IN_1_1_1,TS_1_1_1,TS_1_2_1,SWC_1_1_1,SWC_1_2_1,Year,DoY,Hour,DoY_hr,SR1,SR2,SR3,Rh,Ra1,Ra2,Ra3,GPP
2022/5/22 11:00,614.8,21.63,22.62,24.6,23.9,2022,142,11,142.4583333,4.73,NA,NA,2.31,2.42,NA,NA,9.8967
2022/5/22 12:00,606.45,21.97,22.56,24.6,23.9,2022,142,12,142.5,4.83,NA,NA,2.3,2.53,NA,NA,9.7553
2022/5/22 13:00,910.5,22.33,22.54,24.55,23.95,2022,142,13,142.5416667,4.71,NA,NA,2.4,2.31,NA,NA,16.8465
2022/5/22 14:00,1112,23.155,22.545,24.4,23.95,2022,142,14,142.5833333,4.86,NA,NA,2.45,2.41,NA,NA,18.898
2022/5/22 15:00,648.55,23.355,22.615,24.4,23.9,2022,142,15,142.625,4.8,NA,NA,2.48,2.32,NA,NA,13.2589
2022/5/22 16:00,240.7,23.07,22.695,24.4,23.85,2022,142,16,142.6666667,4.86,NA,NA,2.55,2.31,NA,NA,6.52685
2022/5/22 17:00,170.6,22.8,22.735,24.4,23.8,2022,142,17,142.7083333,5.08,NA,NA,2.55,2.53,NA,NA,4.20165
2022/5/22 18:00,68.05,22.525,22.735,24.35,23.8,2022,142,18,142.75,5.64,NA,NA,2.46,3.18,NA,NA,2.57215
2022/5/22 19:00,4.5245,22.215,22.71,24.4,23.7,2022,142,19,142.7916667,4.92,NA,NA,2.45,2.47,NA,NA,-0.96464
2022/5/22 20:00,0.012,21.965,22.655,24.4,23.7,2022,142,20,142.8333333,5.01,NA,NA,2.38,2.63,NA,NA,-0.946935
2022/5/22 21:00,0.02,21.78,22.595,24.4,23.7,2022,142,21,142.875,4.91,NA,NA,2.31,2.6,NA,NA,-0.93314
2022/5/22 22:00,0.0115,21.65,22.515,24.4,23.7,2022,142,22,142.9166667,5.08,NA,NA,2.27,2.81,NA,NA,-0.89939
2022/5/22 23:00,0.015,21.54,22.445,24.4,23.7,2022,142,23,142.9583333,5.07,NA,NA,2.28,2.79,NA,NA,-0.84238
2022/5/23 0:00,0.0165,21.34,22.38,24.4,23.7,2022,143,0,143,4.67,NA,NA,2.12,2.55,NA,NA,-0.927705
2022/5/23 1:00,0.022,21.145,22.305,24.4,23.7,2022,143,1,143.0416667,4.81,NA,NA,2.18,2.63,NA,NA,-0.932845
2022/5/23 2:00,0.0165,21.065,22.225,24.4,23.7,2022,143,2,143.0833333,4.64,NA,NA,2.09,2.55,NA,NA,-0.918715
2022/5/23 3:00,0.0205,20.955,22.15,24.4,23.6,2022,143,3,143.125,4.65,NA,NA,2.12,2.53,NA,NA,-0.971355
2022/5/23 4:00,0.0135,20.825,22.075,24.4,23.7,2022,143,4,143.1666667,4.62,NA,NA,2.13,2.49,NA,NA,-1.0167
2022/5/23 5:00,10.216,20.72,22,24.4,23.7,2022,143,5,143.2083333,4.66,NA,NA,2.09,2.57,NA,NA,-0.97482
2022/5/23 6:00,91.745,20.65,21.93,24.4,23.7,2022,143,6,143.25,4.82,NA,NA,2.08,2.74,NA,NA,3.18785
2022/5/23 7:00,190.05,20.655,21.855,24.4,23.7,2022,143,7,143.2916667,4.88,NA,NA,2.06,2.82,NA,NA,4.1654
2022/5/23 8:00,238.55,20.725,21.795,24.4,23.65,2022,143,8,143.3333333,4.61,NA,NA,2.03,2.58,NA,NA,5.26535
2022/5/23 9:00,299.3,20.815,21.745,24.35,23.6,2022,143,9,143.375,4.64,NA,NA,2.04,2.6,NA,NA,6.6986
2022/5/23 10:00,437.95,20.88,21.71,24.3,23.6,2022,143,10,143.4166667,4.46,NA,NA,2.04,2.42,NA,NA,7.36735
2022/5/23 11:00,851.6,21.28,21.685,24.3,23.55,2022,143,11,143.4583333,4.46,NA,NA,2.05,2.41,NA,NA,15.1655
2022/5/23 12:00,1527.5,21.965,21.695,24.15,23.5,2022,143,12,143.5,4.51,NA,NA,2.05,2.46,NA,NA,21.989
2022/5/23 13:00,1747,23.04,21.755,24.05,23.45,2022,143,13,143.5416667,4.46,NA,NA,2.19,2.27,NA,NA,22.123
2022/5/23 14:00,1598,24.62,21.885,23.85,23.35,2022,143,14,143.5833333,4.29,NA,NA,2.37,1.92,NA,NA,22.68
2022/5/23 15:00,1160,24.29,22.115,23.8,23.25,2022,143,15,143.625,4.6,NA,NA,2.71,1.89,NA,NA,18.8095
2022/5/23 16:00,695.25,23.775,22.315,23.8,23.2,2022,143,16,143.6666667,4.92,NA,NA,2.54,2.38,NA,NA,12.9015
2022/5/23 17:00,309.7,23.41,22.415,23.85,23.1,2022,143,17,143.7083333,4.81,NA,NA,2.45,2.36,NA,NA,7.1265
2022/5/23 18:00,34.395,23.075,22.46,23.9,23.1,2022,143,18,143.75,4.85,NA,NA,2.43,2.42,NA,NA,1.526475
2022/5/23 19:00,1.585,22.71,22.47,23.9,23.1,2022,143,19,143.7916667,4.9,NA,NA,2.4,2.5,NA,NA,-0.40253
2022/5/23 20:00,0.01,22.34,22.45,23.9,23.1,2022,143,20,143.8333333,5.47,NA,NA,2.35,3.12,NA,NA,-0.48963
2022/5/23 21:00,0.019,21.96,22.395,23.8,23,2022,143,21,143.875,4.81,NA,NA,2.27,2.54,NA,NA,-0.62697
2022/5/23 22:00,0.0185,21.775,22.33,23.8,23,2022,143,22,143.9166667,4.74,NA,NA,2.22,2.52,NA,NA,-0.63271
2022/5/23 23:00,0.011,21.595,22.255,23.85,23,2022,143,23,143.9583333,5.84,NA,NA,2.16,3.68,NA,NA,-0.68031
2022/5/24 0:00,0.019,21.375,22.175,23.9,23,2022,144,0,144,4.54,NA,NA,2.18,2.36,NA,NA,-0.70038
2022/5/24 1:00,0.025,21.28,22.1,23.8,23,2022,144,1,144.0416667,4.79,NA,NA,2.12,2.67,NA,NA,-0.637955
2022/5/24 2:00,0.018,21.25,22.025,23.7,23,2022,144,2,144.0833333,4.34,NA,NA,2.07,2.27,NA,NA,-0.591505
2022/5/24 3:00,0.017,21.23,21.96,23.75,22.9,2022,144,3,144.125,4.55,NA,NA,2.07,2.48,NA,NA,-0.547485
2022/5/24 4:00,0.016,21.26,21.91,23.75,22.9,2022,144,4,144.1666667,4.69,NA,NA,2.09,2.6,NA,NA,-0.492765
2022/5/24 5:00,7.7875,21.28,21.87,23.7,22.9,2022,144,5,144.2083333,5.77,NA,NA,2.07,3.7,NA,NA,-0.482485
2022/5/24 6:00,66.195,21.315,21.835,23.7,22.9,2022,144,6,144.25,5.78,NA,NA,2.09,3.69,NA,NA,1.53232
2022/5/24 7:00,174.8,21.415,21.805,23.7,22.9,2022,144,7,144.2916667,5.18,NA,NA,2.1,3.08,NA,NA,4.67175
2022/5/24 8:00,386.7,21.675,21.79,23.7,22.9,2022,144,8,144.3333333,4.66,NA,NA,2.11,2.55,NA,NA,8.91545
2022/5/24 9:00,509.95,22.085,21.8,23.7,22.9,2022,144,9,144.375,4.72,NA,NA,2.1,2.62,NA,NA,8.74485
2022/5/24 10:00,698.65,22.52,21.84,23.7,22.9,2022,144,10,144.4166667,4.71,NA,NA,2.14,2.57,NA,NA,12.49515
2022/5/24 11:00,765.1,23.18,21.905,23.6,22.8,2022,144,11,144.4583333,4.34,NA,NA,2.27,2.07,NA,NA,14.3065
2022/5/24 12:00,345.3,23.41,22.015,23.6,22.8,2022,144,12,144.5,4.42,NA,NA,2.3,2.12,NA,NA,8.47185
2022/5/24 13:00,138.25,22.925,22.135,26.5,23.25,2022,144,13,144.5416667,4.58,NA,NA,2.43,2.15,NA,NA,4.1693
2022/5/24 14:00,326.35,22.425,22.2,25.55,24.15,2022,144,14,144.5833333,5.14,NA,NA,2.49,2.65,NA,NA,7.07805
2022/5/24 15:00,619,22.515,22.2,25,24.4,2022,144,15,144.625,4.29,NA,NA,1.25,3.04,NA,NA,10.795
2022/5/24 16:00,788.05,22.67,22.185,24.85,24.4,2022,144,16,144.6666667,4.96,NA,NA,1.94,3.02,NA,NA,15.3455
2022/5/24 17:00,389,22.695,22.195,24.7,24.4,2022,144,17,144.7083333,4.94,NA,NA,2.26,2.68,NA,NA,9.51525
2022/5/24 18:00,157.75,22.505,22.21,24.7,24.4,2022,144,18,144.75,5.08,NA,NA,2.39,2.69,NA,NA,6.089
2022/5/24 19:00,5.987,22.23,22.21,24.65,24.4,2022,144,19,144.7916667,4.9,NA,NA,2.32,2.58,NA,NA,-0.26623
2022/5/24 20:00,0.016,21.98,22.19,24.6,24.4,2022,144,20,144.8333333,5.15,NA,NA,2.31,2.84,NA,NA,-0.31646
2022/5/24 21:00,0.013,21.8,22.15,24.6,24.5,2022,144,21,144.875,4.98,NA,NA,2.27,2.71,NA,NA,-0.3882
2022/5/24 22:00,0.0075,21.67,22.095,24.6,24.5,2022,144,22,144.9166667,5.41,NA,NA,2.18,3.23,NA,NA,-0.37487
2022/5/24 23:00,NA,21.39,22.05,28.45,25.05,2022,144,23,144.9583333,4.93,NA,NA,2.11,2.82,NA,NA,NA
2022/5/25 0:00,0.014,20.355,21.96,32.75,29.5,2022,145,0,145,5.68,NA,NA,2.2,3.48,NA,NA,-0.96621
2022/5/25 1:00,0.008,20.02,21.785,32.55,31,2022,145,1,145.0416667,4.46,NA,NA,1.27,3.19,NA,NA,-0.91836
2022/5/25 2:00,0.0085,19.735,21.595,32.7,31.75,2022,145,2,145.0833333,3.58,NA,NA,0.96,2.62,NA,NA,-1.006265
2022/5/25 3:00,0.0165,19.645,21.42,31.3,31.75,2022,145,3,145.125,3.38,NA,NA,0.99,2.39,NA,NA,-1.04495
2022/5/25 4:00,0.025,19.54,21.28,30.45,31.65,2022,145,4,145.1666667,3.65,NA,NA,0.79,2.86,NA,NA,-1.0432
2022/5/25 5:00,25.179,19.435,21.165,29.9,31.6,2022,145,5,145.2083333,4.13,NA,NA,1.18,2.95,NA,NA,0.98472
