Datetime_hr_CST,PPFD_IN_1_1_1,TS_1_1_1,TS_1_2_1,SWC_1_1_1,SWC_1_2_1,Year,DoY,Hour,DoY_hr,SR1,SR2,SR3,Rh,Ra1,Ra2,Ra3,GPP,SR,Ra
2024/3/3 15:00,901.5,16.885,15.03,41.45,34.3,2024,63,15,63.625,2.08911,2.21315,NA,1.74474,0.34437,0.46841,NA,11.442,2.15113,0.40639
2024/3/3 16:00,553.9,17.22,15.235,41.4,34.3,2024,63,16,63.66666667,2.29078,2.53402,NA,1.68127,0.60951,0.85275,NA,9.08235,2.4124,0.73113
2024/3/3 17:00,197.5,17.445,15.45,41.4,34.25,2024,63,17,63.70833333,2.12273,2.55834,NA,1.56794,0.55479,0.9904,NA,5.41475,2.340535,0.772595
2024/3/3 18:00,1.1245,17.515,15.645,41.4,34.2,2024,63,18,63.75,2.23476,2.46165,NA,1.47121,0.76355,0.99044,NA,2.7958,2.348205,0.876995
2024/3/3 19:00,0,17.44,15.805,41.4,34.2,2024,63,19,63.79166667,2.3458,2.10642,NA,1.41723,0.92857,0.68919,NA,1.70835,2.22611,0.80888
2024/3/3 20:00,0,17.28,15.92,41.4,34.15,2024,63,20,63.83333333,2.33697,2.40077,NA,1.47366,0.86331,0.92711,NA,2.1111,2.36887,0.89521
2024/3/3 21:00,0,17.09,15.985,41.5,34.1,2024,63,21,63.875,2.30904,2.61688,NA,1.36549,0.94355,1.25139,NA,1.545195,2.46296,1.09747
2024/3/3 22:00,0,16.9,16.02,41.5,34.1,2024,63,22,63.91666667,1.70628,2.37872,NA,1.401,0.30528,0.97772,NA,0.0999,2.0425,0.6415
2024/3/3 23:00,0,16.765,16.025,41.5,34.1,2024,63,23,63.95833333,2.14067,2.31742,NA,1.4139,0.72677,0.90352,NA,-0.644935,2.229045,0.815145
2024/3/4 0:00,0,16.71,16.015,41.5,34.1,2024,64,0,64,2.09888,2.35518,NA,1.35873,0.74015,0.99645,NA,-0.4449,2.22703,0.8683
2024/3/4 1:00,0,16.715,16.015,41.5,34.1,2024,64,1,64.04166667,2.11175,2.34074,NA,1.45273,0.65902,0.88801,NA,0.34379,2.226245,0.773515
2024/3/4 2:00,0,16.705,16.015,41.5,34.1,2024,64,2,64.08333333,2.30273,2.38296,NA,1.24457,1.05816,1.13839,NA,1.9218,2.342845,1.098275
2024/3/4 3:00,0,16.66,16.02,41.5,34.1,2024,64,3,64.125,2.43437,2.52291,NA,1.47037,0.964,1.05254,NA,0.661845,2.47864,1.00827
