Datetime_hr_CST,PPFD_IN_1_1_1,TS_1_1_1,SWC_1_1_1,Year,DoY,Hour,DoY_hr,SR1,SR2,SR3,Rh,Ra1,Ra2,Ra3,GPP,SR,Ra
2024/9/3 12:00,1621,28.23,14.35,2024,247,12,247.5,NA,3.74,3.58,3.295,NA,0.445,0.285,25.656,3.66,0.365
2024/9/3 13:00,1569,29.88,14.3,2024,247,13,247.5416667,NA,4.84,4.545,3.575,NA,1.265,0.97,23.5815,4.6925,1.1175
2024/9/3 14:00,1022.2,30.525,14.25,2024,247,14,247.5833333,NA,4.835,4.68,3.51,NA,1.325,1.17,20.524,4.7575,1.2475
2024/9/3 15:00,365.2,29.92,14.15,2024,247,15,247.625,NA,4.89,NA,3.52,NA,1.37,NA,16.9695,4.89,1.37
2024/9/3 16:00,194.1,29.275,14.1,2024,247,16,247.6666667,NA,4.935,NA,3.465,NA,1.47,NA,10.5692,4.935,1.47
2024/9/3 17:00,174.25,28.765,14,2024,247,17,247.7083333,NA,5.01,4.465,3.395,NA,1.615,1.07,8.86555,4.7375,1.3425
2024/9/3 18:00,34.475,28.355,14,2024,247,18,247.75,NA,4.98,4.415,3.235,NA,1.745,1.18,7.67955,4.6975,1.4625
2024/9/3 19:00,0,27.865,13.9,2024,247,19,247.7916667,NA,4.825,4.38,3.425,NA,1.4,0.955,5.31495,4.6025,1.1775
2024/9/3 20:00,0,27.39,13.9,2024,247,20,247.8333333,NA,4.8,4.3,3.455,NA,1.345,0.845,2.5247,4.55,1.095
2024/9/3 21:00,0,27.02,13.9,2024,247,21,247.875,NA,4.665,4.03,3.23,NA,1.435,0.8,1.09349,4.3475,1.1175
2024/9/3 22:00,0,26.725,13.9,2024,247,22,247.9166667,NA,4.76,3.96,3.105,NA,1.655,0.855,1.8231,4.36,1.255
2024/9/3 23:00,0,26.49,13.9,2024,247,23,247.9583333,NA,4.7,4.275,3.205,NA,1.495,1.07,1.7112,4.4875,1.2825
2024/9/4 0:00,0,26.3,13.9,2024,248,0,248,NA,4.865,3.97,3.24,NA,1.625,0.73,0.73217,4.4175,1.1775
2024/9/4 1:00,0,26.11,13.9,2024,248,1,248.0416667,NA,4.63,3.975,3.02,NA,1.61,0.955,0.24739,4.3025,1.2825
2024/9/4 2:00,0,25.925,13.9,2024,248,2,248.0833333,NA,4.415,3.9,3.175,NA,1.24,0.725,0.18663,4.1575,0.9825
2024/9/4 3:00,0,25.73,13.9,2024,248,3,248.125,NA,4.365,3.825,3.085,NA,1.28,0.74,-1.4226,4.095,1.01
2024/9/4 4:00,0,25.56,13.9,2024,248,4,248.1666667,NA,4.395,3.725,3.005,NA,1.39,0.72,-3.138105,4.06,1.055
2024/9/4 5:00,0,25.36,13.8,2024,248,5,248.2083333,NA,4.39,3.785,2.83,NA,1.56,0.955,-3.4491,4.0875,1.2575
2024/9/4 6:00,40.1,25.17,13.8,2024,248,6,248.25,NA,4.225,3.785,2.88,NA,1.345,0.905,1.5988,4.005,1.125
2024/9/4 7:00,167.25,25.045,13.8,2024,248,7,248.2916667,NA,4.245,3.795,2.935,NA,1.31,0.86,2.5371,4.02,1.085
2024/9/4 8:00,271.1,25.06,13.8,2024,248,8,248.3333333,NA,4.22,3.645,2.765,NA,1.455,0.88,4.6177,3.9325,1.1675
2024/9/4 9:00,316.85,25.165,13.8,2024,248,9,248.375,NA,4.16,3.755,2.81,NA,1.35,0.945,5.9693,3.9575,1.1475
