date,PPFD_IN_1_1_1,TS_1_1_1,TS_1_2_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,SWC_1_1_1,SR1,Rh,SR2,SR3,Ra1,Ra2,Ra3,gc
1/25/2024 9:00,107.02,12.13,12.28,12.22,12.23,13.17,46.4,1.79738,0.50704,NA,NA,1.29034,NA,NA,NA
1/25/2024 10:00,200.05,12.225,12.255,12.365,12.255,13.16,46.3,1.82,NA,NA,NA,NA,NA,NA,NA
1/25/2024 11:00,409.05,12.44,12.24,12.645,12.36,13.155,46.15,1.78,0.787318,NA,0.669553,0.992682,NA,-0.117765,NA
1/25/2024 12:00,531,12.82,12.25,13.1,12.575,13.155,46.05,1.92,1.02506,NA,0.751603,0.89494,NA,-0.273457,NA
1/25/2024 13:00,541.85,13.295,12.295,13.59,12.87,13.165,45.95,2.18,1.42786,1.68842,0.756455,0.75214,0.26056,-0.671405,0.057431271
1/25/2024 14:00,378.9,13.685,12.375,13.945,13.175,13.19,45.85,2.02,1.95,NA,0.758795,0.07,NA,-1.191205,0.00754696
1/25/2024 15:00,205.6,13.84,12.485,14.04,13.37,13.235,45.8,2.75,1.92,NA,0.68,0.83,NA,-1.24,0.003535191
1/25/2024 16:00,111.45,13.755,12.595,13.875,13.415,13.295,45.8,2.34,1.84,NA,NA,0.5,NA,NA,0.001918464
1/25/2024 17:00,6.38,13.54,12.675,13.61,13.35,13.355,45.8,2.4,2.14,1.83096,0.66,0.26,-0.30904,-1.48,0.001296032
1/25/2024 18:00,0,13.295,12.725,13.335,13.215,13.405,45.75,2.77,1.75,NA,0.83,1.02,NA,-0.92,0.001082883
1/25/2024 19:00,0,13.055,12.745,13.1,13.075,13.445,45.7,2.04,1.95,1.42473,0.68,0.09,-0.52527,-1.27,0.000118316
1/25/2024 20:00,0,12.87,12.735,12.92,12.94,13.475,45.7,2.27,2.12,1.37476,NA,0.15,-0.74524,NA,0.002210429
1/25/2024 21:00,0,12.715,12.71,12.78,12.825,13.485,45.7,2.19,2.585,1.29,0.72,-0.395,-1.295,-1.865,6.98E-05
1/25/2024 22:00,0,12.595,12.68,12.66,12.73,13.49,45.7,2.44,2.34,NA,1.45,0.1,NA,-0.89,0.001092901
1/25/2024 23:00,0,12.485,12.64,12.56,12.645,13.49,45.7,1.77,2.33,1.94956,NA,-0.56,-0.38044,NA,0.001062946
1/26/2024,0,12.385,12.605,12.47,12.57,13.48,45.7,2.24,2.14,1.42,0.665312,0.1,-0.72,-1.474688,0.01037646
1/26/2024 1:00,0,12.3,12.56,12.375,12.495,13.47,45.7,2.12,2.23,NA,1.13,-0.11,NA,-1.1,0.000836545
1/26/2024 2:00,0,12.205,12.53,12.285,12.42,13.455,45.65,2.37,2.09,2.19283,NA,0.28,0.10283,NA,0.000662674
1/26/2024 3:00,0,12.11,12.485,12.205,12.35,13.445,45.6,2.37,1.95,NA,0.8139665,0.42,NA,-1.1360335,NA
1/26/2024 4:00,0,12.03,12.445,12.13,12.285,13.425,45.6,2.04,2.38,2.37843,0.705862,-0.34,-0.00157,-1.674138,NA
1/26/2024 5:00,0,11.96,12.41,12.06,12.225,13.405,45.6,2.49,1.97,NA,0.72,0.52,NA,-1.25,NA
1/26/2024 6:00,0,11.9,12.365,12.01,12.17,13.385,45.6,2.41,2.06,NA,0.853707,0.35,NA,-1.206293,NA
1/26/2024 7:00,0,11.86,12.34,11.97,12.125,13.365,45.6,2.06,1.99,NA,1.24,0.07,NA,-0.75,NA
1/26/2024 8:00,50.6755,11.825,12.3,11.945,12.09,13.345,45.6,2.06,1.99,2.32451,0.88,0.07,0.33451,-1.11,NA
1/26/2024 9:00,193.35,11.87,12.27,12.025,12.085,13.325,45.5,2.19,1.85,NA,0.77314,0.34,NA,-1.07686,NA
1/26/2024 10:00,361.85,12.055,12.245,12.27,12.155,13.31,45.5,2.25,1.93,2.07245,0.88,0.32,0.14245,-1.05,NA
1/26/2024 11:00,329.85,12.455,12.245,12.71,12.35,13.295,45.4,1.85,2.15,NA,1.11,-0.3,NA,-1.04,NA
1/26/2024 12:00,294.55,12.83,12.28,13.085,12.59,13.29,45.35,2.07,2.09,NA,0.95,-0.02,NA,-1.14,NA
