date,PPFD_IN_1_1_1,TS_1_1_1,TS_1_2_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,SWC_1_1_1,SR1,Rh,SR2,SR3,Ra1,Ra2,Ra3,gc
3/15/2023 20:00,0.07,15.24,15.38,15.38,15.465,15.49,21.8,1.58,1.08,NA,NA,0.5,NA,NA,0.001061933
3/15/2023 21:00,0.0575,15.065,15.39,15.205,15.36,15.525,21.8,1.72,1.07,NA,NA,0.65,NA,NA,NA
3/15/2023 22:00,0.055,14.93,15.385,15.08,15.265,15.545,21.8,1.45845,1.06,NA,NA,0.39845,NA,NA,0.000401465
3/15/2023 23:00,0.0675,14.82,15.365,14.975,15.18,15.56,21.8,1.71,0.97,NA,NA,0.74,NA,NA,NA
3/16/2023,0.067,14.725,15.34,14.885,15.11,15.56,21.8,1.53,0.98,NA,NA,0.55,NA,NA,NA
3/16/2023 1:00,0.057,14.61,15.31,14.78,15.04,15.555,21.85,1.5,0.95,NA,NA,0.55,NA,NA,NA
3/16/2023 2:00,0.078,14.505,15.28,14.675,14.96,15.545,21.9,1.46,0.95,NA,NA,0.51,NA,NA,NA
3/16/2023 3:00,0.0655,14.43,15.25,14.605,14.885,15.535,21.9,1.71,0.91,NA,NA,0.8,NA,NA,NA
3/16/2023 4:00,0.06,14.375,15.215,14.55,14.83,15.515,21.95,1.6,0.89,NA,NA,0.71,NA,NA,NA
3/16/2023 5:00,0.0785,14.375,15.19,14.53,14.79,15.495,21.9,1.48,1,NA,NA,0.48,NA,NA,NA
3/16/2023 6:00,9.725,14.455,15.16,14.595,14.785,15.475,21.9,NA,0.91,NA,NA,NA,NA,NA,NA
3/16/2023 7:00,91.99,14.6,15.14,14.73,14.83,15.46,21.9,1.44,0.9,NA,NA,0.54,NA,NA,NA
3/16/2023 8:00,118.725,14.815,15.14,14.93,14.92,15.445,21.85,1.51,0.92,NA,NA,0.59,NA,NA,0.00256002
3/16/2023 9:00,203.35,15.08,15.15,15.18,15.05,15.44,21.8,1.77,0.97,NA,NA,0.8,NA,NA,0.001104754
3/16/2023 10:00,183.65,15.38,15.185,15.475,15.23,15.44,21.8,1.95,1.04,NA,NA,0.91,NA,NA,0.001581354
3/16/2023 11:00,184.9,15.62,15.245,15.725,15.415,15.455,21.8,1.82,0.98,NA,NA,0.84,NA,NA,0.001733984
3/16/2023 12:00,244.1,15.885,15.31,15.98,15.6,15.48,21.8,1.98,1.01,NA,NA,0.97,NA,NA,0.003300434
3/16/2023 13:00,338.4,16.165,15.39,16.265,15.795,15.51,21.7,1.92,1.04,NA,NA,0.88,NA,NA,0.00461018
3/16/2023 14:00,71.465,16.35,15.485,16.495,16.005,15.555,22.85,1.79,1.06,NA,NA,0.73,NA,NA,0.002014805
3/16/2023 15:00,182.95,16.75,15.59,16.91,16.28,15.605,28.9,1.86,1.09,NA,NA,0.77,NA,NA,0.00029788
3/16/2023 16:00,78.89,16.92,15.725,17.03,16.505,15.68,27.75,1.89,1.15,NA,NA,0.74,NA,NA,0.000817306
3/16/2023 17:00,15.56,16.89,15.835,17.02,16.59,15.75,27.3,1.19491,0.63,NA,NA,0.56491,NA,NA,0.00052611
3/16/2023 18:00,2.6925,16.92,15.94,17.06,16.65,15.83,28.35,1.5,0.7,NA,NA,0.8,NA,NA,NA
3/16/2023 19:00,0.0805,16.97,16.015,17.11,16.72,15.905,28.05,1.58,0.83,NA,NA,0.75,NA,NA,0.000434447
3/16/2023 20:00,0.0785,16.96,16.08,17.1,16.755,15.965,27.4,1.58,0.88,NA,NA,0.7,NA,NA,NA
3/16/2023 21:00,0.0625,16.955,16.135,17.115,16.795,16.025,31.1,1.48,0.84,NA,NA,0.64,NA,NA,NA
3/16/2023 22:00,0.02,16.825,16.22,16.98,16.835,16.085,37.45,1.65,0.95,NA,NA,0.7,NA,NA,0.007873013
3/16/2023 23:00,0.039,16.485,16.265,16.67,16.695,16.135,36.65,1.81,1.08,NA,NA,0.73,NA,NA,0.026565243
3/17/2023,0.0615,16.12,16.26,16.335,16.5,16.175,35.9,0.390246,0.81,NA,NA,-0.419754,NA,NA,0.014363717
3/17/2023 1:00,0.0585,15.695,16.23,15.93,16.265,16.195,35.15,0.740625,NA,NA,NA,NA,NA,NA,0.007048471
3/17/2023 2:00,0.073,15.265,16.165,15.515,15.985,16.2,34.55,0.746437,0.23,NA,NA,0.516437,NA,NA,0.009511674
3/17/2023 3:00,0.0615,14.875,16.07,15.135,15.7,16.185,34.1,0.686752,0.21,NA,NA,0.476752,NA,NA,0.007932143
3/17/2023 4:00,0.0785,14.56,15.96,14.81,15.43,16.15,33.6,0.63,0.2,NA,NA,0.43,NA,NA,0.007188596
3/17/2023 5:00,0.0725,14.3,15.84,14.555,15.195,16.095,33.3,0.57,0.23,NA,NA,0.34,NA,NA,0.005603918
3/17/2023 6:00,4.153,14.055,15.71,14.315,14.975,16.035,33,0.569803,0.22,NA,NA,0.349803,NA,NA,0.006410471
3/17/2023 7:00,52.79,13.825,15.59,14.08,14.77,15.965,32.75,0.54,0.27,NA,NA,0.27,NA,NA,0.003403566
3/17/2023 8:00,169.49,13.605,15.465,13.86,14.565,15.89,32.55,0.569257,NA,NA,NA,NA,NA,NA,0.005751679
3/17/2023 9:00,390.7,13.595,15.34,13.825,14.42,15.81,32.25,0.55,0.23,NA,NA,0.32,NA,NA,0.017262729
3/17/2023 10:00,702.95,13.71,15.235,13.9,14.365,15.73,32,0.52,0.22,NA,NA,0.3,NA,NA,0.013070983
3/17/2023 11:00,1245,14.095,15.15,14.205,14.42,15.655,31.75,0.536817,0.25,NA,NA,0.286817,NA,NA,0.021443273
3/17/2023 12:00,1514.5,14.37,15.105,14.445,14.54,15.585,31.45,0.56,0.29,NA,NA,0.27,NA,NA,0.015542267
3/17/2023 13:00,1131,14.75,15.085,14.755,14.695,15.54,31.2,0.66,0.33,NA,NA,0.33,NA,NA,0.015306579
3/17/2023 14:00,1135.5,14.945,15.1,14.98,14.87,15.505,30.95,0.71,0.35,NA,NA,0.36,NA,NA,0.012389
3/17/2023 15:00,1066.5,14.955,15.13,15.045,14.995,15.49,30.75,0.74,0.42,NA,NA,0.32,NA,NA,0.012043555
3/17/2023 16:00,674.45,14.705,15.165,14.86,14.99,15.49,30.55,0.69,0.47,NA,NA,0.22,NA,NA,0.006592753
3/17/2023 17:00,260.4,14.44,15.18,14.645,14.915,15.49,30.35,0.72,0.43,NA,NA,0.29,NA,NA,0.006783914
3/17/2023 18:00,16.7725,14.125,15.16,14.36,14.775,15.49,30.15,0.67,0.47,NA,NA,0.2,NA,NA,0.00426603
3/17/2023 19:00,0.046,13.84,15.12,14.07,14.595,15.485,30,0.67,0.47,NA,NA,0.2,NA,NA,0.002468706
3/17/2023 20:00,0.0545,13.58,15.06,13.815,14.41,15.46,29.8,0.63,0.43,NA,NA,0.2,NA,NA,0.002862367
3/17/2023 21:00,0.046,13.365,14.98,13.6,14.23,15.43,29.65,0.63627,0.46,NA,NA,0.17627,NA,NA,0.002970758
3/17/2023 22:00,0.0585,13.2,14.91,13.43,14.075,15.38,29.5,0.62,0.43,NA,NA,0.19,NA,NA,0.003176321
3/17/2023 23:00,0.0655,13.065,14.815,13.29,13.935,15.33,29.35,0.62758,0.41,NA,NA,0.21758,NA,NA,0.002691302
3/18/2023,0.065,12.965,14.73,13.18,13.815,15.275,29.25,0.64,0.43,NA,NA,0.21,NA,NA,0.003197516
3/18/2023 1:00,0.0755,12.865,14.64,13.07,13.715,15.215,29.1,0.600003,0.41,NA,NA,0.190003,NA,NA,0.00334199
3/18/2023 2:00,0.0715,12.76,14.565,12.965,13.605,15.155,28.95,0.59,0.44,NA,NA,0.15,NA,NA,0.002273691
3/18/2023 3:00,0.0695,12.665,14.495,12.86,13.515,15.095,28.85,0.6,NA,NA,NA,NA,NA,NA,0.003315523
3/18/2023 4:00,0.067,12.555,14.42,12.755,13.415,15.035,28.75,0.590298,0.43,NA,NA,0.160298,NA,NA,0.00215618
3/18/2023 5:00,0.0645,12.455,14.35,12.65,13.32,14.975,28.6,0.58,0.44,NA,NA,0.14,NA,NA,0.001875363
3/18/2023 6:00,10.5655,12.37,14.27,12.57,13.23,14.915,28.5,0.570894,0.42,NA,NA,0.150894,NA,NA,0.006203786
3/18/2023 7:00,135,12.32,14.205,12.505,13.155,14.855,28.4,0.58,0.45,NA,NA,0.13,NA,NA,0.003208954
3/18/2023 8:00,276.9,12.415,14.14,12.57,13.12,14.805,28.25,0.53,0.44,NA,NA,0.09,NA,NA,0.008405856
3/18/2023 9:00,201.8,12.515,14.085,12.665,13.135,14.745,28.1,NA,0.42,NA,NA,NA,NA,NA,0.006019236
3/18/2023 10:00,309.75,12.57,14.05,12.715,13.155,14.695,28,0.56,0.45,NA,NA,0.11,NA,NA,0.008501695
3/18/2023 11:00,493.15,12.79,14.02,12.9,13.205,14.65,27.85,0.57,0.47,NA,NA,0.1,NA,NA,0.009500367
3/18/2023 12:00,588.8,13.07,14.005,13.15,13.32,14.615,27.7,0.56,0.47,NA,NA,0.09,NA,NA,0.008975302
3/18/2023 13:00,567.05,13.345,14.015,13.415,13.47,14.585,27.55,0.6,0.51,NA,NA,0.09,NA,NA,0.009439731
3/18/2023 14:00,344.45,13.505,14.04,13.59,13.63,14.575,27.4,0.63,0.56,NA,NA,0.07,NA,NA,0.009169926
3/18/2023 15:00,493.5,13.56,14.08,13.665,13.72,14.57,27.3,0.63,0.57,NA,NA,0.06,NA,NA,0.006513027
3/18/2023 16:00,309.9,13.625,14.115,13.745,13.8,14.575,27.15,0.69,0.6,NA,NA,0.09,NA,NA,0.009047819
