date,PPFD_IN_1_1_1,TS_1_1_1,TS_1_2_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,SWC_1_1_1,SR1,Rh,SR2,SR3,Ra1,Ra2,Ra3,gc,SR,Ra
2/20/2024 14:00,1296,11.495,10.465,12.095,11.165,11.605,41.95,1.60733,1.182825,NA,1.57827,0.424505,NA,0.395445,0.001327743,1.60733,0.424505
2/20/2024 15:00,1079.5,12.14,10.72,12.67,11.705,11.73,41.85,1.62624,1.34002,1.88586,NA,0.28622,0.54584,NA,0.000774343,1.75605,0.41603
2/20/2024 16:00,735.5,12.655,11.015,13.16,12.175,11.895,41.8,1.86413,1.62303,1.94343,NA,0.2411,0.3204,NA,0.000724384,1.90378,0.28075
2/20/2024 17:00,342.15,13.06,11.3,13.55,12.575,12.075,41.75,2.02651,1.07275,2.34611,4.13273,0.95376,1.27336,3.05998,0.000401008,2.18631,1.11356
2/20/2024 18:00,52.45,13.33,11.575,13.74,12.88,12.27,41.7,1.68039,0.959068,2.72134,3.01873,0.721322,1.762272,2.059662,0.000137481,2.200865,1.241797
2/20/2024 19:00,0,13.425,11.815,13.69,13.04,12.46,41.75,1.60742,0.978932,2.53773,NA,0.628488,1.558798,NA,5.30E-05,2.072575,1.093643
2/20/2024 20:00,0,13.365,12.025,13.53,13.065,12.64,41.8,2.00058,0.901427,2.52476,NA,1.099153,1.623333,NA,7.79E-05,2.26267,1.361243
2/20/2024 21:00,0,13.24,12.17,13.325,13.01,12.795,41.8,1.72324,0.865539,1.84365,NA,0.857701,0.978111,NA,5.34E-05,1.783445,0.917906
2/20/2024 22:00,0,13.075,12.265,13.115,12.915,12.915,41.8,1.53357,0.877422,2.43336,3.57199,0.656148,1.555938,2.694568,NA,1.983465,1.106043
2/20/2024 23:00,0,12.89,12.325,12.925,12.81,13.01,41.8,1.8474,1.49534,1.94403,1.77073,0.35206,0.44869,0.27539,0.000125613,1.895715,0.400375
2/21/2024,0,12.72,12.355,12.76,12.705,13.085,41.8,1.40873,0.863831,2.19298,8.69306,0.544899,1.329149,7.829229,NA,1.800855,0.937024
2/21/2024 1:00,0,12.58,12.36,12.605,12.595,13.13,41.9,1.59319,1.08319,1.62951,2.18647,0.51,0.54632,1.10328,NA,1.61135,0.52816
2/21/2024 2:00,0,12.43,12.35,12.465,12.495,13.165,41.9,1.61672,0.994741,1.70311,NA,0.621979,0.708369,NA,0.000582336,1.659915,0.665174
2/21/2024 3:00,0,12.33,12.335,12.39,12.405,13.185,41.9,1.62136,0.852916,1.7997,NA,0.768444,0.946784,NA,0.00018014,1.71053,0.857614
2/21/2024 4:00,0,12.325,12.315,12.455,12.395,13.2,41.9,1.34989,1.11151,1.69518,NA,0.23838,0.58367,NA,0.00010285,1.522535,0.411025
2/21/2024 5:00,0,12.4,12.3,12.57,12.435,13.205,41.9,1.53735,0.89572,1.81537,NA,0.64163,0.91965,NA,0.000199259,1.67636,0.78064
2/21/2024 6:00,0,12.5,12.31,12.69,12.505,13.22,41.8,1.47092,NA,1.56101,NA,NA,NA,NA,NA,1.515965,NA
2/21/2024 7:00,0,12.61,12.335,12.8,12.58,13.235,41.8,1.6633,0.849246,1.83994,NA,0.814054,0.990694,NA,NA,1.75162,0.902374
2/21/2024 8:00,55.5505,12.715,12.37,12.92,12.67,13.265,41.8,1.51811,0.859015,1.81504,NA,0.659095,0.956025,NA,9.58E-05,1.666575,0.80756
2/21/2024 9:00,194.4,12.835,12.41,13.045,12.765,13.3,41.8,1.39032,0.972406,2.11162,NA,0.417914,1.139214,NA,0.000755332,1.75097,0.778564
2/21/2024 10:00,369.6,12.99,12.46,13.23,12.875,13.34,41.8,1.75086,0.987482,1.94636,1.81322,0.763378,0.958878,0.825738,0.001155154,1.84861,0.861128
2/21/2024 11:00,740.55,13.215,12.525,13.535,13.055,13.385,41.75,1.55332,1.11776,1.80544,1.45952,0.43556,0.68768,0.34176,0.002247144,1.67938,0.56162
2/21/2024 12:00,1024.75,13.59,12.61,14.015,13.335,13.445,41.7,2.41211,1.41337,2.25226,NA,0.99874,0.83889,NA,0.001894876,2.332185,0.918815
2/21/2024 13:00,1426,14.06,12.73,14.585,13.705,13.515,41.65,2.10589,1.4992,2.41081,1.7613,0.60669,0.91161,0.2621,0.001631042,2.25835,0.75915
2/21/2024 14:00,1311.5,14.56,12.885,15.09,14.115,13.61,41.6,1.8858,1.50302,2.41494,1.42248,0.38278,0.91192,-0.08054,0.00122693,2.15037,0.64735
2/21/2024 15:00,1078.5,14.975,13.085,15.455,14.48,13.735,41.55,2.16506,1.4284,2.11092,1.44448,0.73666,0.68252,0.01608,0.001311944,2.13799,0.70959
